id,bvid,title,play,like,favorite,coin,reply,author_name,mid,fans,tname,tags,cover,duration,detail_url,点赞率,收藏率,投币率,评论率,互动总分
1,BV1dsTL6dEkB,苗族银饰,2771626,241367,24365,88413,2990,归乡人山白,3494349557992101,1983330,,"一起做手工吧！,制作,手工,原创,手工艺,苗族,饰品,银饰,传统手工,苗族银饰",http://i0.hdslb.com/bfs/archive/68f32d1fccd8feb3c70c76285b0a4d4ba37f0b5c.jpg,689,https://www.bilibili.com/video/BV1dsTL6dEkB,0.0870849818842802,0.008790868609256805,0.03189932552227465,0.001078789129557884,0.1651487249722726
2,BV16SKU6REfQ,网瘾賊大的阿嬷,2538485,118421,17046,3723,1904,神威-狗剩,5432766,29846,,"鬼畜剧场Remake,杰哥不要,搞笑,鬼畜,阿伟,彬彬,杰哥,阿嬷,登dua郎,鬼畜剧场",http://i2.hdslb.com/bfs/archive/fc43c20e0acf97fbcb0b3fdc72dfcc74baf3b3b7.jpg,152,https://www.bilibili.com/video/BV16SKU6REfQ,0.04665026580814935,0.006715028845945515,0.001466622808486164,0.0007500536737463487,0.060406108367786294
3,BV1k2KU6oEGB,《原神》角色预告-「桑多涅：致新生」,1267615,184687,38715,94771,8109,原神,401742377,20574929,,"桑多涅,月之八,木偶,米哈游,miHoYo,原神",http://i0.hdslb.com/bfs/archive/67042ef4c645c2cde917b7f9cceaf032a5caa4c7.jpg,686,https://www.bilibili.com/video/BV1k2KU6oEGB,0.14569644568737353,0.03054160766478781,0.07476323647164163,0.00639705273288814,0.34743238286072664
4,BV12BKU6AEW1,《异环》真红角色短片丨赤龙假日,2073556,48956,8005,5931,5152,异环,3546636978489848,2973006,,"异环,异环真红,九百九十九夜",http://i2.hdslb.com/bfs/archive/aa9f80fe7aedf97420cdf59cf38c929685c5d36a.jpg,634,https://www.bilibili.com/video/BV12BKU6AEW1,0.02360968307583687,0.003860517873643152,0.002860303748729236,0.0024846206227369795,0.03760568800649705
5,BV1DAjR62EpD,那些裸辞搞OPC一人公司的人，现在怎么样了？AI时代三大“骗局”：一人公司、openclaw、AI培训,1457170,23062,12730,1542,505,图灵的猫,371846699,1118679,,"WorkBuddy超级个体大赛,腾讯,创业,AI,智能体,OPC,大模型,agent",http://i2.hdslb.com/bfs/archive/e25d5596da96eff9ed2b37c13136f33ae4bdfbbd.jpg,397,https://www.bilibili.com/video/BV1DAjR62EpD,0.015826567936479616,0.008736111778310011,0.0010582155822587618,0.000346562171881112,0.03139372894034327
6,BV1rz7569EWw,找到了10年前跪舔b站的视频,12233582,1212359,343559,697481,20751,逗比的雀巢,5294454,10953958,,"搞笑小剧场,回忆,生活,高能,娱乐,帅哥,搞笑,搞笑视频,美的全屋智能,美的美享家",http://i0.hdslb.com/bfs/archive/61b59b6e7ba5d34592401ac162e800ef3a9ddf0f.jpg,439,https://www.bilibili.com/video/BV1rz7569EWw,0.09910090110974856,0.02808327111388962,0.05701363672553141,0.001696232550695291,0.2569493137823411
7,BV1ugKS63E18,人类...完蛋了...,1258584,88390,16694,2821,1993,请叫我小严子,254413801,177162,,"鬼畜全明星AI剧场,搞笑,mygo,神人,千早爱音,丰川祥子,mujica",http://i0.hdslb.com/bfs/archive/a83fe11b86f5f2bc5195268000f7c6f9a4481f51.jpg,96,https://www.bilibili.com/video/BV1ugKS63E18,0.07022971847727287,0.013264112685367048,0.0022414078043261317,0.0015835256129110174,0.09619222872688672
8,BV1NWKS6aEgF,第3集丨“柠檬茶能换怀表？”,1448667,116930,21931,5724,1146,是DollDoll,3546883477736061,68123,,"三角洲行动,王宇昊,麦晓雯,三角洲动画",http://i0.hdslb.com/bfs/archive/cbe8b1c2e85fa8cf02f4485f676c2e504d9d2d63.jpg,103,https://www.bilibili.com/video/BV1NWKS6aEgF,0.08071558197984768,0.015138744790900877,0.003951218603032995,0.0007910720683221195,0.1121172084405871
9,BV1SZ7W6aEeE,重庆真的是一个8D魔幻城市，谁来都得晕，太离谱了！,3759475,179923,19983,1815,4460,峻宁峻宁,1938121503,1428288,,"搞笑小剧场,生活记录,旅游,魔幻,重庆,山城,记录,城市,8D",http://i0.hdslb.com/bfs/archive/20048eed328174b94a788e710f90c55f0717f6e1.jpg,137,https://www.bilibili.com/video/BV1SZ7W6aEeE,0.047858544078628,0.005315369832223914,0.00048278017542343016,0.0011863358580652885,0.05798349503587602
10,BV1ewjP6LEaQ,【剧情】心间错（2026）14【 朱正廷 / 哈妮克孜 】,430191,1523,1108,1095,240,迷影社,4856007,3265634,,,http://i1.hdslb.com/bfs/archive/cebcc77a58b24bd4aa6b60d906ffd87d81ffd28c.png,1367,https://www.bilibili.com/video/BV1ewjP6LEaQ,0.0035402879186221935,0.0025756001404027514,0.0025453810051814193,0.0005578917271630508,0.01305234186675221
11,BV1iZT36mE9d,如果有二次元高中是什么样子的？,1076006,56939,6684,1082,1926,李藩混合物,450335747,31611,,"二次元校园副本挑战者,二次元,动漫,校园,高中",http://i1.hdslb.com/bfs/archive/c5f39ce76523b4d47fa3ff129d4d9a0813c4503a.jpg,212,https://www.bilibili.com/video/BV1iZT36mE9d,0.052916991169194225,0.00621186127214904,0.0010055706009074298,0.0017899528441291219,0.06603587712336177
