title,play,投币率,author_name
护士姐姐：学吧，这就是商务枪法.丨《内脏医生》02,59892,0.14619648700995125,小熊flippy
兜 帽 难 藏 泪 4,317928,0.08487456279409174,sss技巧吐槽
只用赏心悦目的忍者上段！#4,311507,0.07830963670158295,赵小天咯
鼠鼠的火腾龙，变成了爸妈的空调,484378,0.07677062129163587,沉剑o
《原神》角色预告-「桑多涅：致新生」,1267615,0.07476323647164163,原神
致敬！中国首批缉毒警已全体退休,1570391,0.0735944105639933,央视新闻
《五十六个民族，五十六只噶》终极典藏版,210960,0.06597459233978005,皮蛋瘦肉粥煎鸡蛋
脑瘫挑战麒麟臂吃果冻,246065,0.06410501290309471,阿呆去流浪
找到了10年前跪舔b站的视频,12233582,0.05701363672553141,逗比的雀巢
都盲，盲点好啊,352771,0.05280195934473072,高斯Goh
