,play,like,favorite,coin,reply,fans
count,103.0,103.0,103.0,103.0,103.0,103.0
mean,1693869.5436893203,115437.17475728155,34234.961165048546,24233.155339805824,4487.718446601942,2371461.009708738
std,2266745.0326282526,174734.59739202616,102749.12722637985,74119.24995688847,9653.179137422356,4231581.88280761
min,59892.0,1523.0,917.0,188.0,212.0,985.0
25%,558502.5,37133.0,5257.0,1848.0,877.5,197552.0
50%,1197773.0,60804.0,10394.0,4935.0,1732.0,888635.0
75%,1833704.0,139234.0,21904.0,18043.0,4186.5,2454211.0
90%,3127207.5999999987,199651.59999999998,47572.59999999997,42675.59999999999,8078.2,5475435.4
95%,4269193.199999998,324651.49999999977,97095.79999999984,94135.19999999994,20580.699999999986,10748036.699999982
99%,12161315.460000014,1066032.340000002,653680.0000000013,174286.64000000007,28296.900000000005,20572840.46
max,16030621.0,1212359.0,746801.0,697481.0,83620.0,24048581.0
