id,bvid,title,play,like,favorite,coin,reply,author_name,mid,fans,tname,tags,cover,duration,detail_url
6,BV1rz7569EWw,找到了10年前跪舔b站的视频,12233582,1212359,343559,697481,20751,逗比的雀巢,5294454,10953958,,"搞笑小剧场,回忆,生活,高能,娱乐,帅哥,搞笑,搞笑视频,美的全屋智能,美的美享家",http://i0.hdslb.com/bfs/archive/61b59b6e7ba5d34592401ac162e800ef3a9ddf0f.jpg,439,https://www.bilibili.com/video/BV1rz7569EWw
10,BV1ewjP6LEaQ,【剧情】心间错（2026）14【 朱正廷 / 哈妮克孜 】,430191,1523,1108,1095,240,迷影社,4856007,3265634,,,http://i1.hdslb.com/bfs/archive/cebcc77a58b24bd4aa6b60d906ffd87d81ffd28c.png,1367,https://www.bilibili.com/video/BV1ewjP6LEaQ
22,BV1hQ7Y6tEgH,左手《Luvsic》，右手《夜，萤火虫和你》，是什么感觉？,16030621,1075707,746801,174679,15683,桓桓Aileen,1423268604,427434,,"演奏挑战赛,钢琴,夜萤火虫和你,luvsic",http://i2.hdslb.com/bfs/archive/ad4a8616f9fb9810ee9b53e244578ae49b7bb8de.jpg,96,https://www.bilibili.com/video/BV1hQ7Y6tEgH
31,BV1XaTV6VE3e,鼠鼠的火腾龙，变成了爸妈的空调,484378,55114,6096,37186,1749,沉剑o,11113150,2346,,"必剪创作,鼠鼠文学,曼德尔砖,气象感应,火腾龙,三角洲,游戏回忆,现实与游戏",http://i1.hdslb.com/bfs/archive/b5a5b0d049129f6cdd732e26136c7b4072d3cca6.jpg,261,https://www.bilibili.com/video/BV1XaTV6VE3e
36,BV1B7KD6sESB,《五十六个民族，五十六只噶》终极典藏版,210960,35060,12448,13918,1110,皮蛋瘦肉粥煎鸡蛋,3706988932368570,985,,"变装视频,民族,民族服饰,典藏版,咕咕嘎嘎",http://i0.hdslb.com/bfs/archive/7cb09f92ca9a3aa75f94fba2e4ab2329fcee0da4.jpg,251,https://www.bilibili.com/video/BV1B7KD6sESB
38,BV1k37s6XE2C,【乘风2026】总决赛-《想见你想见你想见你》张月&陈瑶 愿所有想念都能在我们的歌声里靠岸,1624825,53129,26023,43459,83620,张月ZhangYue,1854329029,36135,,"一起来看乘风2026,陈瑶,音乐,舞台现场,张月",http://i1.hdslb.com/bfs/archive/bae90bb1d97429bb4248bd1aa04daf872c3ab63f.jpg,277,https://www.bilibili.com/video/BV1k37s6XE2C
116,BV1U87E6jE6G,2026年7-9月国创夏季导视-哔哩哔哩版权国创,210678,3611,917,188,343,哔哩哔哩国创,98627270,7588172,,,http://i1.hdslb.com/bfs/archive/d3090707bb38f94817f43f5b2e98e343bc4c53db.png,1341,https://www.bilibili.com/video/BV1U87E6jE6G
159,BV1J6jQ6REN2,除了学习什么都学的舅舅！！1~38超长合集！,8618374,461517,660009,75296,1313,猫meme电影院,3690975337647046,374443,,"原创,猫meme,合集",http://i0.hdslb.com/bfs/archive/d7d6738d98153f18e03a96d8dc7a02ff70d77c69.jpg,4977,https://www.bilibili.com/video/BV1J6jQ6REN2
163,BV1D9KQ6UEiA,护士姐姐：学吧，这就是商务枪法.丨《内脏医生》02,59892,10172,4081,8756,898,小熊flippy,8730238,1175763,,"整点电子榨菜,恐怖游戏,搞笑,维斯拉医生,沙雕,恐怖奶奶",http://i0.hdslb.com/bfs/archive/8f461106656a379c192b2bae3a40efcf8a0a89b1.jpg,2160,https://www.bilibili.com/video/BV1D9KQ6UEiA
173,BV16tTg6JEjT,终于把好哥们处成了情侣!,1285586,27928,7924,4165,3586,老吴和小付,556182948,1685,,"爱的100种表达方式,情侣,情感,生活记录,男朋友,爱情,异地恋,从校园开始的恋爱,情侣日常,结束异地恋",http://i0.hdslb.com/bfs/archive/81f8f92b79fe6d0a8bb28481bf46aa7f0da7d3d5.jpg,147,https://www.bilibili.com/video/BV16tTg6JEjT
