source,target,weight
一起做手工吧！,原创,1
一起做手工吧！,手工,2
原创,手工,2
搞笑,鬼畜,2
miHoYo,原神,1
miHoYo,米哈游,3
原神,米哈游,1
娱乐,搞笑,3
娱乐,搞笑小剧场,1
娱乐,高能,1
搞笑,搞笑小剧场,1
搞笑,高能,2
搞笑小剧场,高能,1
搞笑,鬼畜全明星AI剧场,1
搞笑小剧场,生活记录,1
搞笑小剧场,记录,1
搞笑小剧场,重庆,1
生活记录,记录,4
生活记录,重庆,1
记录,重庆,1
二次元,动漫,4
二次元,校园,1
动漫,校园,1
手绘,绘画,2
手绘,绘画过程,2
绘画,绘画过程,2
miHoYo,崩坏星穹铁道,2
miHoYo,崩坏：星穹铁道,2
崩坏星穹铁道,崩坏：星穹铁道,2
崩坏星穹铁道,米哈游,2
崩坏：星穹铁道,米哈游,2
4K,禁毒,1
4K,警察,1
4K,高能,1
禁毒,警察,1
禁毒,高能,1
警察,高能,1
大众点评,美食,1
大众点评,重庆,1
美食,重庆,1
世界杯,动画,1
世界杯,搞笑,1
世界杯,沙雕,1
世界杯,鬼畜,1
动画,搞笑,2
动画,沙雕,1
动画,鬼畜,1
搞笑,沙雕,6
沙雕,鬼畜,1
抽象,鬼畜,1
抽象,鬼畜全明星AI剧场,1
鬼畜,鬼畜全明星AI剧场,1
AI,科技猎手,1
AI,音乐,1
科技猎手,音乐,1
主播说三农,空调,1
steam,搞笑,2
steam,沙雕,1
steam,游戏,1
搞笑,游戏,2
沙雕,游戏,1
MECCHA CHAMELEON,变色龙躲猫猫,2
MECCHA CHAMELEON,抽象,1
MECCHA CHAMELEON,搞笑,2
MECCHA CHAMELEON,沙雕,1
变色龙躲猫猫,抽象,1
变色龙躲猫猫,搞笑,2
变色龙躲猫猫,沙雕,1
抽象,搞笑,1
抽象,沙雕,1
MECCHA CHAMELEON,steam,1
steam,变色龙躲猫猫,1
原创,生活记录,2
原创,记录,2
手工,生活记录,1
手工,记录,1
王者荣耀,王者荣耀UP主激励计划,2
二次元,动画,2
二次元,游戏,1
动漫,动画,1
动漫,游戏,1
动画,游戏,1
人类模仿ai,搞笑小剧场,1
原创,手绘,1
原创,绘画,1
原创,绘画过程,1
二次元,搞笑,2
动漫,搞笑,1
娱乐,沙雕,1
4K,美食,1
4K,舌尖真探事务所,1
美食,舌尖真探事务所,1
大众点评,搞笑,1
大众点评,生活记录,1
大众点评,记录,1
大众点评,记录我的美食日常,1
搞笑,生活记录,2
搞笑,记录,2
搞笑,记录我的美食日常,1
生活记录,记录我的美食日常,1
记录,记录我的美食日常,1
原创,娱乐,1
原创,搞笑,1
原创,校园,1
娱乐,校园,1
娱乐,生活记录,2
搞笑,校园,1
校园,生活记录,1
沙雕,高能,1
二次元,崩坏：星穹铁道,1
动漫,崩坏：星穹铁道,1
美食教程,记录我的美食日常,1
娱乐,王者荣耀,1
娱乐,王者荣耀UP主激励计划,1
二次元,咕咕嘎嘎,1
二次元,记录,1
动画,咕咕嘎嘎,1
动画,记录,1
咕咕嘎嘎,搞笑,1
咕咕嘎嘎,记录,1
美食教程,舌尖真探事务所,1
娱乐,美食,1
生活记录,美食,1
