id,视频BV号（bvid）,标题（title,播放量（play,点赞数（like）,收藏数（favorite）,投币数（coin）,评论数（reply）,Up主名称（authon_name),Up主UID（mid）,粉丝数（fans）,标签（tags）,视频时长（秒）（durtion）
1,BV1dsTL6dEkB,苗族银饰,2771626,241367,24365,88413,2990,归乡人山白,3494349557992100,1983330,"一起做手工吧！,制作,手工,原创,手工艺,苗族,饰品,银饰,传统手工,苗族银饰",689
2,BV16SKU6REfQ,网瘾賊大的阿嬷,2538485,118421,17046,3723,1904,神威-狗剩,5432766,29846,"鬼畜剧场Remake,杰哥不要,搞笑,鬼畜,阿伟,彬彬,杰哥,阿嬷,登dua郎,鬼畜剧场",152
3,BV1k2KU6oEGB,《原神》角色预告-「桑多涅：致新生」,1267615,184687,38715,94771,8109,原神,401742377,20574929,"桑多涅,月之八,木偶,米哈游,miHoYo,原神",686
4,BV12BKU6AEW1,《异环》真红角色短片丨赤龙假日,2073556,48956,8005,5931,5152,异环,3546636978489840,2973006,"异环,异环真红,九百九十九夜",634
5,BV1DAjR62EpD,那些裸辞搞OPC一人公司的人，现在怎么样了？AI时代三大“骗局”：一人公司、openclaw、AI培训,1457170,23062,12730,1542,505,图灵的猫,371846699,1118679,"WorkBuddy超级个体大赛,腾讯,创业,AI,智能体,OPC,大模型,agent",397
6,BV1rz7569EWw,找到了10年前跪舔b站的视频,12233582,1212359,343559,697481,20751,逗比的雀巢,5294454,10953958,"搞笑小剧场,回忆,生活,高能,娱乐,帅哥,搞笑,搞笑视频,美的全屋智能,美的美享家",439
7,BV1ugKS63E18,人类...完蛋了...,1258584,88390,16694,2821,1993,请叫我小严子,254413801,177162,"鬼畜全明星AI剧场,搞笑,mygo,神人,千早爱音,丰川祥子,mujica",96
8,BV1NWKS6aEgF,第3集丨“柠檬茶能换怀表？”,1448667,116930,21931,5724,1146,是DollDoll,3546883477736060,68123,"三角洲行动,王宇昊,麦晓雯,三角洲动画",103
9,BV1SZ7W6aEeE,重庆真的是一个8D魔幻城市，谁来都得晕，太离谱了！,3759475,179923,19983,1815,4460,峻宁峻宁,1938121503,1428288,"搞笑小剧场,生活记录,旅游,魔幻,重庆,山城,记录,城市,8D",137
10,BV1ewjP6LEaQ,【剧情】心间错（2026）14【 朱正廷 / 哈妮克孜 】,430191,1523,1108,1095,240,迷影社,4856007,3265634,,1367
11,BV1iZT36mE9d,如果有二次元高中是什么样子的？,1076006,56939,6684,1082,1926,李藩混合物,450335747,31611,"二次元校园副本挑战者,二次元,动漫,校园,高中",212
12,BV1GyTg6BEwW,我觉得你是在无中生友,2355977,189447,30072,4018,3256,笔心无忧BX,315774349,856188,"绘画过程,绘画,手绘",86
13,BV1wYKQ6PEF7,《崩坏：星穹铁道》寰宇漫游变奏：「知更鸟•晴歌」,2011991,189726,25110,34171,27165,崩坏星穹铁道,1340190821,12300323,"崩坏：星穹铁道,崩坏星穹铁道,星穹铁道知更鸟晴歌,米哈游,miHoYo",18
14,BV1a5T56yEcP,普通僵尸太普通，终于玩上超标的尸壳了【我是僵尸】,800320,71439,5639,6768,1256,磊哥游戏,268941858,3077250,"我是僵尸,我的世界",324
15,BV12x756YEDQ,把毒品藏在哪里，60秒内不会被发现？,8620255,591974,98909,131927,23604,Upspeed盛嘉成,86439234,2864256,"汽车,云南,社会,犯罪,科普,高能,4K,警察,禁毒,公安",1128
16,BV162Tu67EoC,这个男人他来了…,1484953,184797,15821,9015,1052,啊费定格动画,3493092757866730,55999,"唐嘉琦,抽象,创意手工",16
17,BV1cYKQ6PE6w,中国车在纽北的BTG新纪录！,176427,4867,1027,4383,643,苏黎世贝勒爷,454370042,58437,"小米,纽北BTG圈速,纽北,电动车,SU7Ultra",2072
18,BV1EB7G62EGE,一集吃爽！在重庆的肥肠鸡加串串香到底有啥不一样？！！,2094544,182525,14237,4785,2609,特厨隋坡,3546888255048210,3054773,"美食,重庆,隋坡,大众点评,美食探店",285
19,BV1emKQ69EcB,《崩坏：星穹铁道》寰宇漫游变奏：「砂金•戏浪」,1514200,138932,13912,17459,19048,崩坏星穹铁道,1340190821,12300326,"崩坏：星穹铁道,崩坏星穹铁道,星穹铁道砂金戏浪,米哈游,miHoYo",17
20,BV1F6K96TEaW,兜 帽 难 藏 泪 4,317928,56806,15404,26984,2433,sss技巧吐槽,6689054,314029,"明日方舟创作者应援计划,明日方舟,凯尔希,可露希尔,Mon3tr,普瑞赛斯",114
21,BV1pm7n6kExn,"""超算小姐，这一次，我一定要带你出去...""",4342257,378670,136138,155061,4163,HL-Flame,3546883796503080,76399,"三角洲欢乐剧场,doge,cheems,巴克什,三角洲行动,三角洲S9赛季,三角洲回响,三角洲S10赛季,三角洲裂变,大红",233
22,BV1hQ7Y6tEgH,左手《Luvsic》，右手《夜，萤火虫和你》，是什么感觉？,16030621,1075707,746801,174679,15683,桓桓Aileen,1423268604,427434,"演奏挑战赛,钢琴,夜萤火虫和你,luvsic",96
23,BV17ZKU6JEgo,当我试图驯服ai做短剧（3）,1084505,76757,9862,1555,794,打工喵i,281143686,25515,"搞笑,ai短剧,猫咪ai,驯服 ai",58
24,BV1QgKS63EgP,⚡逼尔摩斯教你玩球⚡,505798,39136,7190,1881,563,洛温阿特金森,30222764,1997256,"世界杯,搞笑,鬼畜,动画,福尔摩斯,配音,美团外卖决战这一杯,美团外卖饮品福利,沙雕,美团外卖",203
25,BV1bRTG6zE57,《名肘探科比》：科比大战裂口女,576964,41627,11947,5399,971,村村狗熊,73419115,49318,"鬼畜全明星AI剧场,推理,鬼畜,科比,牢大,AI短剧,裂口女,抽象",470
26,BV1uEK96HEoj,81老人卖菜获博主帮助后遇车祸去世，博主自责道歉,1320442,142216,6051,2256,4818,九派新闻,1955655610,363334,"博主,老人,道歉,车祸去世",49
27,BV1YK7h6HE7Z,对话Lilwukong：被骂了三个月，我敢说 AI 才是音乐的未来,2089653,64723,12790,1197,1595,林慈丰AI,67969624,26884,"科技猎手,悟空,说唱,学习,音乐,AI,可灵,TapNow,Lilwukong,mv",555
28,BV1bmTM6ZEya,啥比桑吉尔夫排位练蓝防（最不抽象的一集）,1465143,127673,25780,32387,2104,89不玩抽象,1650023427,22417,"音效,街霸六,勾石音效,轻松绷住,老桑,桑吉尔夫",279
29,BV1F2jd6TE9P,【深度科普】为什么AI越聪明，你反而越不会工作了？,1726994,37119,10502,11403,365,GenJi是真想教会你,49746395,3339349,"不用学的AI工具Tabbit,浏览器,AI,Tabbit,妙招,夸克,Agent,AI工具,打工人",793
30,BV1mBKU6AEES,“中国养猪场都用上空调了”！这是真的吗？【主播说三农】,716079,72428,3524,2521,4325,央视农业,1343321779,3903083,"主播说三农,田间地头看变化,母猪,猪,养猪场,空调",198
31,BV1XaTV6VE3e,鼠鼠的火腾龙，变成了爸妈的空调,484378,55114,6096,37186,1749,沉剑o,11113150,2346,"必剪创作,鼠鼠文学,曼德尔砖,气象感应,火腾龙,三角洲,游戏回忆,现实与游戏",261
32,BV1hhKD61EMJ,这集爆笑！瑞克自己和自己干……起来了！双倍腌黄瓜快乐！（瑞克和莫蒂·第九季第六集剧情）,724946,32824,4061,3593,1801,安迪视频,357261525,1720150,"瑞克和莫蒂,动漫杂谈,安迪视频,瑞克和莫蒂第九季第六集,瑞克的头,瑞克与莫蒂,动画片,第九季第六集",763
33,BV1nWTM65E5u,啊啊啊,2329082,170589,25966,6170,2705,Z贤者,499951416,2249083,"声控游戏,搞笑,游戏,steam,沙雕",106
34,BV1etKD6mEFz,都盲，盲点好啊,352771,40820,11508,18627,779,高斯Goh,3913194,5479896,"今天你搞笑了吗,逗比,聚会,日常,搞笑,MECCHA CHAMELEON,变色龙躲猫猫,沙雕,抽象,小潮team",1533
35,BV1ZBKQ6fEpN,你是龙啊？你是虾子！！！！,412679,13667,3408,1038,330,失眠的老张,456318119,596357,"独立游戏,多人联机,逆天,搞笑,躲猫猫,steam,MECCHA CHAMELEON,变色龙躲猫猫,游戏日常,涂鸦躲猫猫",1166
36,BV1B7KD6sESB,《五十六个民族，五十六只噶》终极典藏版,210960,35060,12448,13918,1110,皮蛋瘦肉粥煎鸡蛋,3706988932368570,985,"变装视频,民族,民族服饰,典藏版,咕咕嘎嘎",251
37,BV15fKU6UEZp,极端热浪席卷欧洲多国，热一热百姓让领导先凉快？,1197773,72318,8411,8331,6583,麻薯波比呀,703186600,3390735,"社会观察局,欧洲高温,欧洲热浪,欧洲环保,欧洲空调,空调,欧洲天气",992
38,BV1k37s6XE2C,【乘风2026】总决赛-《想见你想见你想见你》张月&陈瑶 愿所有想念都能在我们的歌声里靠岸,1624825,53129,26023,43459,83620,张月ZhangYue,1854329029,36135,"一起来看乘风2026,陈瑶,音乐,舞台现场,张月",277
39,BV1oQTT6KEb7,致敬！中国首批缉毒警已全体退休,1570391,301976,36537,115572,5402,央视新闻,456664753,24048581,"禁毒,缉毒警",1154
40,BV1VXT56UENV,铁罐轴承珠融合，最后会出什么花纹？,598840,47794,3499,3785,1621,余铁匠打铁日常,414367068,340722,"寻找100位非遗手艺人,手工,生活记录,原创,现场,刀,非遗,刀剑,记录,创作灵感",737
41,BV1wzTT6LE49,我把队友的7连跪剪成了艺术,2154288,108764,10391,5020,2110,小艾Ain,20110331,150619,"王者荣耀UP主激励计划,王者荣耀,爱马tv,我的峡谷小剧场,王者荣耀六月创作激励活动,巅峰赛",133
42,BV1zzKQ6FEK3,要多少气球才能让房子飘起来！？答案是...🤩 #挑战# #野兽先生# #MrBeast# #vlog# #整活#,2452991,177372,9136,3370,2348,野兽先生MrBeast,1027737427,7968509,"MrBeast是谁,小视频",22
43,BV1K7KS6iEB7,《赛博朋克：边缘行者 2》｜官方预告片,1054297,73441,18127,19880,9784,CD_PROJEKT,271442527,1112895,"动画,新番,赛博朋克2077,动漫,游戏,二次元,赛博朋克边缘行者2,赛博朋克边缘行者",91
44,BV1DP7K61ECY,你这一辈子有没有为进山姆拼过命？,2554795,202133,18621,3312,5549,菜包豆本豆,377763688,25055,"搞笑小剧场,人类模仿ai,山姆,豆包,ai,精神状态",65
45,BV1uB7V6iEqm,复古未来主义沙画「夜泳」,673795,72729,12909,3924,788,Raven沙画,16754336,25212,"画师百日创作挑战,绘画过程,绘画,美术,沙画,手绘,原创,设计,艺术,复古未来主义",159
46,BV13o7W6PEcJ,《我落泪情绪零碎》,1242804,49080,15568,38726,21376,王濛,1527390033,844280,乘风2026,293
47,BV1v47s6kEzf,多功能求生吊坠 第四轮迭代汇报,747197,56448,9726,972,892,一诺求生录,1859189432,1630221,"一起做手工吧！,求生,创意,测评,手工,种草,玩具,生存狂,吊坠,配饰",186
48,BV12mKR6nE1f,《传奇耐电王》,497670,57226,2634,2180,1230,伤心欲茄222,3493260618106930,4232173,"配音小剧场,搞笑,八嘎",120
49,BV1P4KQ6MEnj,《共患难》,1268770,78291,3228,2493,939,李万基fit,3546638173866140,655243,"搞笑研究所,原创",132
50,BV1bcTP6CETe,我是一只猫妖，无意掉入老虎窝，躲进虎穴冒充虎崽，结果被宠成真小老虎,549377,9173,4546,1513,546,Al漫剧小剧场,3690999987571180,3161,"动画种草激励计划,老虎,动漫,古风,二次元,搞笑,国产动画,小老虎,猫妖,动画全集",1944
110,BV15LKd6wEtR,哪来的傻孩子啊,579475,48118,5447,822,249,_离咕咕,284476852,1264062,"搞笑,娱乐,超级变色龙MECCHA,沙雕",259
116,BV1U87E6jE6G,2026年7-9月国创夏季导视-哔哩哔哩版权国创,210678,3611,917,188,343,哔哩哔哩国创,98627270,7588172,,1341
131,BV1cCjd6uE4w,AI时代，所有人都应该用语音输入,586134,30375,6000,760,250,数字游牧人,4848323,414795,"人工智能,AI,千问,typeless,千问电脑办公,千问电脑端,千问语音输入法",371
133,BV1pQKD6wEc6,第一次在芬兰市中心摆摊创业卖手工酱香饼蛋烘糕大爆单！咸甜粽子各国老外炫到狂飙中文！火爆街头大排长龙！,959652,47441,6862,17239,1382,雨琪在芬兰,323024456,2274044,"记录我的美食日常,摆摊创业,海外摆摊,中国美食餐车,酱香饼,文化输出,蛋烘糕,老外吃中餐,端午美食,外国人吃中国美食",2133
134,BV1a77j62Ekx,和江西老爸，挑战江西一日三餐！！到底多好吃？？,3216103,268730,32228,37115,5271,Meetfood觅食,447317111,5457593,"舌尖真探事务所,吃货,美食,4K,JoeJoe,大众点评必吃榜,赣州,江西,三餐,探店",800
